DateTime,AddedIPs,RemovedIPs
1575164686,1,0
1575168736,1,0
1575170684,1,0
1575178821,0,1
1575182785,0,1
1575196115,1,0
1575202124,1,0
1575208132,1,0
1575213860,0,1
1575225889,2,0
1575229946,0,1
1575233826,0,1
1575240025,1,0
1575241966,1,0
1575251540,0,1
1575253531,1,0
1575255374,0,1
1575257565,2,0
1575259828,1,0
1575265467,1,0
1575271464,2,0
1575277570,1,0
1575279420,1,0
1575285156,2,0
1575287116,0,1
1575295025,0,1
1575296928,1,0
1575301251,1,0
1575306985,2,0
1575310832,0,2
1575318503,0,1
1575320691,1,0
1575322607,1,0
1575324532,0,1
1575328619,0,1
1575340581,0,1
1575344666,0,2
1575352340,0,1
1575354297,0,1
1575356183,1,1
1575358347,1,1
1575360545,0,1
1575364633,0,1
1575366547,3,0
1575370369,1,0
1575372264,0,2
1575374220,1,0
1575380212,1,1
1575382120,2,1
1575384029,0,1
1575387867,0,1
1575393633,0,1
1575397480,0,1
1575405403,0,1
1575407576,0,1
1575409464,0,1
1575411622,0,1
1575417382,1,0
1575429656,2,0
1575431546,0,1
1575439392,0,1
1575441212,0,1
1575453160,0,3
1575456984,0,1
1575461322,1,0
1575467083,0,3
1575468992,0,1
1575488662,0,1
1575496340,0,1
1575498287,1,0
1575502379,1,0
1575504506,0,1
1575508365,1,0
1575516049,0,2
1575527798,1,0
1575539546,0,1
1575547724,0,1
1575561144,3,0
1575566910,2,0
1575584702,2,1
1575588753,10,0
1575590775,1,0
1575592580,6,0
1575594538,1,1
1575596427,1,0
1575598374,1,0
1575602192,1,0
1575604114,1,0
1575607944,3,0
1575621861,1,0
1575645397,0,1
1575656713,4,0
1575658595,2,0
1575663662,1,0
1575665593,1,0
1575669384,0,1
1575671333,0,1
1575673420,0,1
1575677536,1,2
1575679470,0,3
1575681378,5,1
1575683313,1,0
1575685220,0,1
1575687143,1,11
1575689077,0,1
1575692691,0,3
1575694610,0,2
1575699622,1,0
1575703459,3,0
1575710205,4,1
1575712366,1,0
1575714279,2,0
1575718372,1,0
1575722465,1,0
1575740209,0,1
1575744047,0,2
1575748358,0,2
1575750299,0,3
1575752192,2,2
1575754391,0,1
1575760379,2,0
1575762284,2,0
1575764470,0,1
1575768275,0,5
1575772109,0,1
1575774322,1,2
1575776460,1,0
1575786266,0,1
1575788179,4,1
1575790103,0,1
1575796379,0,2
1575798258,0,1
1575800423,0,1
1575802344,1,0
1575808096,2,1
1575817004,1,0
1575821079,1,0
1575823228,1,1
1575831402,1,0
1575838349,0,1
1575847000,0,2
1575848932,0,2
1575850832,1,0
1575852765,1,0
1575854699,1,0
1575864763,0,1
1575868819,1,0
1575874578,2,3
1575878909,1,0
1575888521,0,3
1575894324,1,2
1575906528,0,1
1575910368,0,1
1575912284,0,1
1575918282,0,2
1575920198,1,0
1575931960,1,0
1575935774,0,1
1575939868,0,1
1575942020,1,1
1575947779,1,0
1575949942,1,0
1575955948,0,1
1575960047,0,1
1575965789,1,0
1575973458,1,0
1575980753,0,1
1575986774,1,1
1575990627,1,0
1576004181,1,0
1576008284,3,1
1576010424,1,0
1576012367,1,0
1576018130,0,1
1576024112,1,0
1576034222,0,1
1576036108,0,1
1576041883,0,3
1576045966,0,2
1576047931,1,0
1576055561,2,0
1576059630,2,1
1576061563,3,0
1576065382,1,0
1576067558,1,0
1576077413,1,2
1576079337,0,1
1576081229,0,1
1576083786,0,1
1576092029,1,0
1576095902,0,1
1576097774,2,0
1576102832,1,0
1576110746,0,1
1576112942,1,0
1576122800,0,1
1576134521,1,0
1576140269,3,0
1576142439,1,0
1576144367,2,0
1576146332,0,4
1576148208,2,1
1576150108,4,0
1576152340,5,2
1576154214,4,1
1576156394,2,0
1576164287,0,1
1576166178,1,0
1576177986,0,1
1576183938,0,1
1576189708,0,1
1576193816,1,0
1576203642,0,1
1576217571,2,0
1576221411,2,0
1576225275,0,2
1576227146,1,2
1576229061,0,2
1576232904,0,1
1576235143,2,3
1576237005,1,3
1576238901,1,5
1576240862,0,4
1576242795,1,2
1576244669,0,1
1576246609,0,1
1576252362,0,2
1576260297,1,0
1576264389,1,0
1576268190,2,0
1576270097,2,0
1576279950,0,1
1576282118,1,0
1576303961,0,2
1576305892,0,1
1576307803,1,1
1576309744,0,2
1576311646,1,0
1576313576,0,1
1576315482,3,0
1576317396,6,0
1576319555,3,0
1576321707,0,2
1576323652,1,1
1576327471,0,1
1576329656,1,0
1576331577,0,1
1576333457,1,0
1576343790,2,0
1576345698,1,0
1576349654,1,0
1576363495,0,1
1576367305,0,1
1576375004,1,0
1576376920,1,0
1576382933,0,1
1576394686,0,1
1576400649,0,1
1576402594,0,5
1576404518,0,7
1576406422,0,1
1576408346,0,1
1576410311,1,1
1576414350,0,2
1576420428,0,1
1576430206,0,2
1576438109,1,0
1576440213,1,0
1576446018,1,0
1576461761,1,1
1576463583,0,1
1576479390,1,0
1576487548,1,0
1576493310,2,0
1576503157,1,0
1576506973,1,0
1576508912,1,0
1576524516,0,2
1576526733,0,1
1576532689,1,0
1576536753,5,0
1576540632,1,0
1576544755,1,0
1576546600,0,1
1576548540,1,1
1576564597,1,1
1576578789,1,0
1576580759,0,2
1576582635,1,0
1576584532,1,0
1576590739,0,1
1576594578,0,3
1576600595,1,0
1576608260,1,0
1576612374,1,0
1576618120,0,1
1576622429,0,2
1576624376,0,3
1576626263,0,1
1576628447,3,0
1576630337,6,0
1576636145,1,1
1576651941,0,1
1576655782,1,0
1576659669,1,0
1576661540,1,0
1576665617,0,2
1576667542,0,1
1576669478,0,2
1576681515,0,1
1576683617,0,1
1576685566,0,1
1576691318,2,1
1576695131,0,1
1576705220,1,0
1576711219,0,1
1576715072,0,1
1576716978,3,0
1576722991,0,1
1576736658,0,1
1576742531,0,1
1576746306,0,1
1576748185,1,0
1576755884,0,1
1576759720,1,0
1576763560,0,1
1576767407,1,0
1576785921,1,0
1576789727,1,0
1576791686,0,1
1576793552,1,0
1576803391,1,1
1576819260,2,0
1576833905,1,0
1576837956,0,1
1576843955,2,0
1576845885,0,1
1576851636,2,0
1576857396,1,0
1576863622,1,0
1576865816,1,0
1576869620,1,0
1576871532,0,2
1576873460,1,0
1576875374,0,1
1576877344,1,0
1576885455,1,0
1576887626,1,1
1576902274,3,0
1576904178,0,2
1576918102,1,0
1576926525,0,1
