DateTime,AddedIPs,RemovedIPs
1575404217,19,0
1575424097,1,0
1575429876,1,0
1575453883,0,2
1575457955,0,24
1575459862,0,22
1575461807,23,12
1575477394,0,1
1575479578,8,0
1575483422,0,1
1575489157,0,10
1575491064,0,9
1575494894,4,0
1575496885,3,0
1575500907,8,0
1575502816,3,0
1575508573,4,0
1575510515,3,1
1575512411,2,0
1575516509,0,1
1575524196,3,0
1575526106,1,0
1575528015,2,0
1575529969,1,0
1575541501,2,0
1575543375,2,0
1575545546,2,0
1575547714,2,6
1575549618,0,19
1575553473,15,0
1575555419,13,0
1575557312,8,0
1575563062,1,0
1575564984,3,0
1575566901,0,8
1575574607,2,0
1575576530,1,0
1575580367,1,1
1575582261,0,6
1575584192,3,0
1575586115,0,3
1575588023,0,8
1575589981,1,0
1575594985,2,4
1575596895,0,3
1575598834,2,2
1575600761,3,0
1575602671,2,0
1575604582,13,0
1575606508,4,0
1575609627,0,2
1575611541,5,1
1575613461,3,1
1575615390,0,3
1575617293,3,0
1575619477,3,0
1575623309,3,0
1575625238,1,0
1575627199,0,2
1575629058,2,2
1575630988,1,2
1575634823,3,2
1575638655,0,2
1575640621,0,25
1575642760,0,9
1575648542,3,0
1575650677,9,3
1575652590,18,1
1575660523,0,2
1575663634,0,1
1575667479,1,1
1575669370,2,1
1575671320,0,2
1575676344,0,1
1575680196,0,2
1575686188,0,4
1575688119,0,1
1575690018,0,5
1575692189,0,12
1575694127,21,2
1575696035,2,0
1575697937,2,5
1575699876,0,3
1575701778,2,0
1575703715,0,3
1575705741,0,3
1575709733,0,3
1575711653,6,1
1575715468,0,2
1575717398,0,1
1575721244,0,3
1575734702,0,2
1575736582,2,5
1575738765,0,8
1575754380,0,2
1575756345,2,1
1575779780,0,7
1575781993,0,15
1575783871,0,2
1575785810,0,1
1575787693,0,2
1575797545,1,18
1575799512,0,3
1575805237,2,0
1575807417,17,0
1575809551,34,0
1575811457,1,0
1575815294,1,0
1575819617,2,0
1575821782,5,1
1575823948,6,1
1575825868,3,0
1575827780,2,0
1575829690,2,0
1575832833,4,0
1575834733,1,0
1575836657,3,0
1575838579,2,0
1575840495,3,0
1575842467,3,2
1575847475,4,0
1575849369,2,0
1575851305,6,0
1575855161,1,0
1575857100,1,0
1575859000,2,0
1575865220,1,0
1575886587,1,0
1575888514,2,0
1575890425,3,2
1575892331,2,0
1575894294,0,28
1575896176,2,24
1575898114,20,1
1575900269,6,0
1575902419,0,1
1575904587,6,0
1575906497,0,5
1575908421,3,3
1575910355,2,5
1575912269,4,3
1575914177,1,2
1575916103,0,2
1575918993,3,4
1575920914,0,1
1575922811,2,3
1575924731,2,2
1575926654,0,2
1575929795,1,4
1575931694,1,1
1575933853,2,3
1575935768,0,2
1575937691,0,6
1575941559,1,1
1575943457,0,1
1575945389,2,2
1575951388,0,1
1575953550,1,0
1575963393,1,0
1575969153,3,0
1575972999,0,1
1575974894,2,2
1575977315,0,4
1575979250,0,1
1575981200,2,0
1575983203,0,3
1575985110,0,25
1575987197,29,0
1575989056,9,0
1575991000,1,5
1575995083,0,3
1575996992,2,2
1575999146,2,4
1576001129,1,0
1576005199,2,3
1576008984,0,1
1576011141,2,3
1576015000,2,0
1576016888,0,1
1576018870,0,1
1576020759,3,2
1576024592,2,0
1576028441,0,1
1576030352,2,0
1576032262,0,2
1576034212,2,0
1576038027,5,0
1576039932,5,1
1576041876,1,0
1576043813,1,0
1576049796,0,1
1576055551,1,3
1576061532,7,2
1576063479,12,0
1576065374,10,0
1576067549,0,2
1576073546,0,16
1576075464,0,9
1576077404,0,1
1576083366,0,2
1576085586,1,2
1576087470,0,1
1576091563,0,2
1576097318,1,2
1576103074,0,2
1576107164,0,3
1576110990,0,2
1576116752,0,2
1576118661,1,0
1576120591,0,2
1576124682,0,5
1576126578,0,6
1576130748,0,1
1576142426,1,1
1576148197,0,20
1576150098,0,12
1576152211,0,12
1576154203,1,0
1576170282,4,0
1576172193,19,1
1576176012,21,0
1576183929,0,1
1576203633,0,1
1576228586,0,1
1576240820,2,1
1576244656,1,0
1576256167,0,4
1576258109,0,19
1576261967,1,21
1576273471,4,0
1576279475,10,0
1576290983,1,0
1576314988,1,0
1576324576,16,0
1576326738,19,0
1576328905,2,2
1576330839,0,1
1576340654,1,0
1576348385,0,1
1576356748,1,0
1576358654,0,2
1576360611,0,1
1576365421,0,7
1576367293,0,1
1576374987,3,0
1576376901,4,1
1576378948,3,0
1576380759,1,0
1576382921,2,0
1576386738,1,0
1576388672,1,0
1576392737,1,0
1576396591,3,0
1576402583,0,1
1576406412,1,0
1576408336,1,0
1576412197,0,20
1576414338,0,20
1576416283,5,0
1576420366,2,0
1576422299,1,0
1576424426,2,0
1576426339,20,0
1576428277,3,1
1576432339,1,0
1576434253,11,0
1576440979,1,0
1576442914,4,1
1576444818,1,0
1576446741,1,0
1576460429,0,3
1576464490,0,7
1576466428,1,0
1576468334,0,3
1576473647,1,1
1576475528,0,1
1576477473,1,0
1576479383,0,1
1576483270,0,3
1576493771,0,1
1576495689,0,1
1576501717,0,1
1576503613,0,4
1576505793,0,2
1576507942,0,1
1576509895,2,0
1576511779,0,6
1576513694,0,19
1576516818,7,0
1576518755,0,1
1576520683,19,5
1576526531,7,1
1576528379,1,4
1576530635,0,1
1576532680,0,1
1576534575,1,0
1576536746,4,0
1576542492,1,0
1576544539,3,0
1576546588,1,0
1576548502,1,0
1576550430,1,0
1576552604,1,0
1576554748,1,1
1576558582,1,1
1576563617,0,1
1576584997,1,0
1576595305,0,2
1576599161,9,0
1576601073,18,1
1576603229,0,6
1576607071,0,14
1576613096,0,7
1576614975,0,1
1576617146,1,0
1576620987,0,2
1576622894,0,2
1576624820,1,0
1576626732,1,0
1576628673,0,1
1576630606,0,2
1576632746,0,2
1576634677,0,1
1576636592,0,1
1576638802,1,1
1576640654,0,1
1576644731,0,1
1576656519,2,0
1576669936,3,1
1576684334,0,1
1576686282,0,24
1576688178,0,14
1576690123,10,0
1576692070,7,0
1576696117,2,0
1576702501,0,1
1576704507,3,0
1576709551,0,1
1576711471,3,0
1576713374,0,1
1576719612,4,0
1576723466,7,1
1576729221,1,0
1576736912,2,0
1576741690,0,2
1576745546,2,0
1576747468,2,0
1576754459,17,1
1576756335,0,2
1576758262,3,0
1576760170,1,0
1576762100,1,0
1576764084,1,0
1576765973,1,0
1576768119,1,0
1576770013,1,0
1576772212,1,0
1576777949,0,16
1576781776,8,2
1576783713,17,0
1576789720,0,2
1576791633,0,1
1576797613,0,3
1576799532,1,0
1576805300,0,3
1576807295,0,1
1576812029,0,7
1576815868,0,1
1576821641,0,1
1576823566,0,1
1576831213,0,2
1576833168,0,2
1576837216,3,0
1576839154,0,2
1576841051,0,15
1576842970,0,1
1576844909,0,3
1576847797,0,1
1576849694,0,1
1576851620,0,1
1576855458,0,2
1576857390,0,1
1576861284,2,0
1576867224,2,1
1576869163,21,20
1576871052,18,2
1576884989,0,1
1576911145,1,0
1576913068,1,0
1576924810,0,3
